City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
279,Maningrida,AU,-12.0667,134.2667,89.96,57,49,3.33,scattered clouds
280,Shubarkuduk,KZ,49.1447,56.4872,14.4,97,100,10.63,overcast clouds
281,Larsnes,NO,62.2028,5.5773,32.0,86,100,3.0,snow
282,Kungurtug,RU,50.5994,97.5228,2.44,88,100,4.88,snow
283,Ostrovnoy,RU,68.0531,39.5131,3.83,91,1,16.44,clear sky
284,Kargil,IN,34.5667,76.1,-14.08,50,0,1.72,clear sky
285,Eyl,SO,7.9803,49.8164,69.21,72,2,16.55,clear sky
286,Madimba,TZ,-10.4,40.3333,73.4,100,90,16.11,moderate rain
287,Okmulgee,US,35.6234,-95.9605,32.0,74,1,4.45,clear sky
288,Clyde River,CA,70.4692,-68.5914,1.4,85,90,16.11,light snow
289,Mantua,IT,45.1667,10.7833,28.99,64,0,6.91,clear sky
290,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.33,94,98,0.63,overcast clouds
291,Sosnovka,RU,56.255,51.2842,-10.88,89,98,4.97,overcast clouds
292,North Bend,US,43.4065,-124.2243,54.0,94,90,8.05,overcast clouds
293,Ketchikan,US,55.3422,-131.6461,41.0,93,90,26.46,moderate rain
294,Nikolskoye,RU,59.7035,30.7861,10.0,85,75,13.42,broken clouds
295,Cabra,ES,37.4725,-4.4421,35.01,84,0,2.15,clear sky
296,Lazaro Cardenas,MX,17.9583,-102.2,74.08,73,0,1.86,clear sky
297,Kaitangata,NZ,-46.2817,169.8464,62.01,68,0,8.01,clear sky
298,Marsh Harbour,BS,26.5412,-77.0636,73.42,63,100,5.37,overcast clouds
299,Port Elizabeth,ZA,-33.918,25.5701,66.2,100,90,11.5,light rain
300,Port-Gentil,GA,-0.7193,8.7815,80.65,76,99,5.64,light rain
301,Cayenne,GF,4.9333,-52.3333,75.2,100,75,9.22,heavy intensity rain
302,Mut,TR,36.6439,33.4389,54.01,68,92,1.83,overcast clouds
303,Faanui,PF,-16.4833,-151.75,81.12,77,100,19.33,light rain
304,Narsaq,GL,60.9167,-46.05,41.0,33,75,25.32,broken clouds
305,Waverley,ZA,-25.7023,28.2591,68.0,82,57,5.75,broken clouds
306,Talara,PE,-4.5772,-81.2719,70.36,83,97,12.64,overcast clouds
307,Canutama,BR,-6.5339,-64.3831,74.19,94,100,1.66,overcast clouds
308,Avesta,SE,60.1455,16.1679,26.01,97,100,1.99,light snow
309,Traverse City,US,44.7631,-85.6206,32.0,86,90,9.22,overcast clouds
310,Arkhangelsk,RU,64.5401,40.5433,-20.2,76,0,4.47,clear sky
311,Yerbogachen,RU,61.2767,108.0108,-36.98,82,37,2.13,scattered clouds
312,Moorhead,US,46.8739,-96.7676,24.01,93,75,6.38,mist
313,Calama,CL,-22.4667,-68.9333,59.0,36,0,10.36,clear sky
314,Teeli,RU,51.0333,90.2333,6.93,92,96,1.59,overcast clouds
315,Novyy Yegorlyk,RU,46.3927,41.8716,29.08,95,10,5.41,clear sky
316,Baykit,RU,61.67,96.37,-20.79,82,100,2.01,overcast clouds
317,Lloydminster,CA,53.2835,-110.0016,24.8,74,90,9.22,overcast clouds
318,Alofi,NU,-19.0595,-169.9187,86.0,66,75,9.22,light rain
319,Port Macquarie,AU,-31.4333,152.9167,86.0,44,0,1.99,clear sky
320,Kohtla-Jarve,EE,59.3986,27.2731,19.53,97,100,16.62,overcast clouds
321,Monchegorsk,RU,67.9397,32.8739,8.64,91,39,13.44,scattered clouds
322,Coari,BR,-4.085,-63.1414,74.75,96,100,2.82,overcast clouds
323,Norman Wells,CA,65.282,-126.8329,5.0,85,90,2.3,overcast clouds
324,Sao Filipe,CV,14.8961,-24.4956,69.24,73,4,13.09,clear sky
325,Zwedru,LR,6.0667,-8.1281,71.53,98,93,3.11,overcast clouds
326,San Patricio,US,28.017,-97.5169,44.6,81,20,5.75,few clouds
327,Owando,CG,-0.4819,15.8999,72.52,91,4,3.74,clear sky
328,Ouesso,CG,1.6136,16.0517,73.76,80,0,2.53,clear sky
329,Krasnoselkup,RU,65.7,82.4667,-4.56,91,94,12.1,overcast clouds
330,Hanzhong,CN,33.0728,107.0303,36.66,62,0,1.7,clear sky
331,Ulety,RU,51.3572,112.4849,-1.21,86,100,6.67,overcast clouds
332,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.91,87,42,17.47,scattered clouds
333,Mehamn,NO,71.0357,27.8492,18.45,91,13,22.39,few clouds
334,Qui Nhon,VN,13.7667,109.2333,65.95,83,98,21.03,light rain
335,Goderich,CA,43.7501,-81.7165,30.2,74,96,14.97,overcast clouds
336,Kaitong,CN,44.8135,123.15,4.95,86,100,8.3,light snow
337,Berlin,DE,52.5244,13.4105,36.0,75,90,20.71,snow
338,Tulle,FR,45.3333,1.8333,30.0,41,100,1.72,overcast clouds
339,Camalu,MX,30.85,-116.0667,57.99,16,0,2.15,clear sky
340,Coquimbo,CL,-29.9533,-71.3436,59.0,88,0,4.61,clear sky
341,Breves,BR,-1.6822,-50.4803,74.16,95,100,3.06,light rain
342,Yingkou,CN,40.6648,122.2283,26.49,87,48,13.51,scattered clouds
343,Rantepao,ID,-2.9701,119.8978,81.73,66,28,1.21,light rain
344,Nome,US,64.5011,-165.4064,15.8,67,90,14.97,overcast clouds
345,Joaquim Nabuco,BR,-8.6244,-35.5333,73.36,87,100,3.33,overcast clouds
346,Lakatoro,VU,-16.0999,167.4164,86.86,64,100,6.08,light rain
347,Athabasca,CA,54.7169,-113.2854,30.2,69,69,3.44,snow
